Year,State,Number_of_Malaria_incidences,Rainfall_in_mm,Per_capita_income,Population,Category_deaths,Mortality_rate,rate
2014,Chandigarh,114,305.5,183795,1055450,Low,0,Zero
2014,Delhi,98,305.5,216029,18980000,Low,0,Zero
2014,Puducherry,79,919,117102,1244644,Low,0,Zero
2015,Puducherry,54,993.6,160421,1244644,Medium,18.519,Extremely high
2015,Chandigarh,152,437.8,217548,1055450,Medium,6.579,Extremely high
2015,Kerala,1549,2601.4,147552,33387687,Medium,2.582,Extremely high
2015,Nagaland,1527,488,83621,1980602,Medium,1.965,Very High
2015,Meghalaya,48603,2508.7,71318,2964007,High,1.625,Very High
2015,Goa,651,2191.6,327059,1457723,Medium,1.536,Very High
2015,Arunachal Pradesh,5088,2593.2,123339,1382611,High,1.376,Very High
2015,Maharashtra,56603,629.2,147399,112372972,High,1.042,Very High
2015,Mizoram,28593,488,114524,1091014,High,0.734,High
2015,Tripura,32525,488,80027,3671032,High,0.646,High
2015,Haryana,9308,437.8,162034,25535081,Medium,0.322,High
2015,Assam,15557,2508.7,60526,31169272,Medium,0.257,Medium
2015,Rajasthan,11796,1108,83977,68621012,Medium,0.254,Medium
2015,Bihar,4006,875.5,31454,103804647,Medium,0.25,Medium
2015,Madhya Pradesh,100597,1988,61204,72597565,High,0.239,Medium
2015,Orissa,436850,1210,65650,41947358,High,0.183,Very Low
2015,Gujarat,41566,677.4,140273,60383628,High,0.168,Very Low
2015,Chhattisgarh,144886,1135.9,84767,25540196,High,0.145,Very Low
2015,Jharkhand,104800,1084.9,59628,32966328,High,0.057,Very Low
2015,Andhra Pradesh,25042,984.8,108163,49386799,Low,0,Zero
2015,Himachal Pradesh,60,1222.4,134376,6864602,Low,0,Zero
2015,Jammu & Kashmir,216,1572.9,74653,12548926,Low,0,Zero
2015,Karnataka,12445,4397,142267,61130704,Low,0,Zero
2015,Manipur,216,488,55603,2721756,Medium,0,Zero
2015,Punjab,596,512.6,119640,27704236,Medium,0,Zero
2015,Sikkim,27,2504.2,233954,607688,Medium,0,Zero
2015,Tamil Nadu,5587,1204.6,137837,72138958,Medium,0,Zero
2015,Uttarakhand,1466,1247.8,146454,10116752,Medium,0,Zero
2015,Uttar Pradesh,42767,1189,46253,207281477,Medium,0,Zero
2015,A.N.Islands,409,2904.4,124361,379944,Medium,0,Zero
2015,Delhi,54,437.8,271305,18980000,Medium,0,Zero
2016,Tripura,10546,489,100000,3671032,High,1.328,Very High
2016,Kerala,1547,1870,162718,33387687,Medium,1.293,Very High
2016,Meghalaya,35147,2266,76594,2964007,High,1.28,Very High
2016,Mizoram,7583,489,134567,1091014,High,1.187,Very High
2016,Maharashtra,23983,906,164757,112372972,High,1.084,Very High
2016,Assam,7826,2266,75234,31169272,High,0.767,High
2016,Arunachal Pradesh,3128,2706.9,130759,1382611,Medium,0.639,High
2016,Chhattisgarh,148220,1315.8,91772,25540196,High,0.412,High
2016,Rajasthan,12741,1207,92076,68621012,Medium,,High
2016,Orissa,444843,1253.5,74234,41947358,High,0.173,Very Low
2016,Gujarat,44783,764.9,156691,60383628,High,0.134,Very Low
2016,Jharkhand,141414,1264,64823,32966328,High,0.106,Very Low
2016,Madhya Pradesh,69106,1098,73268,72597565,Medium,0.043,Very Low
2016,Andhra Pradesh,23613,908.9,122376,49386799,Medium,0,Zero
2016,Bihar,5189,1158,35590,103804647,Medium,0,Zero
2016,Goa,742,3663,381237,1457723,Medium,0,Zero
2016,Haryana,7866,398,180174,25535081,Medium,0,Zero
2016,Himachal Pradesh,106,921.5,146073,6864602,Medium,0,Zero
2016,Jammu & Kashmir,242,902.8,85000,12548926,Medium,0,Zero
2016,Karnataka,11078,3931,157436,61130704,Medium,0,Zero
2016,Manipur,122,489,66890,2721756,Medium,0,Zero
2016,Nagaland,828,489,95000,1980602,Medium,0,Zero
2016,Punjab,693,444,131112,27704236,Medium,0,Zero
2016,Sikkim,15,2624,257182,607688,Medium,0,Zero
2016,Tamil Nadu,4341,535,153263,72138958,Medium,0,Zero
2016,Uttarakhand,961,1308,161102,10116752,Medium,0,Zero
2016,Uttar Pradesh,40700,1563,50203,207281477,Medium,0,Zero
2016,A.N.Islands,485,2851,146781,379944,Medium,0,Zero
2016,Chandigarh,157,398,236865,1055450,Medium,0,Zero
2016,Delhi,31,398,300793,18980000,Medium,0,Zero
2016,Puducherry,76,535,174743,1244644,Medium,0,Zero
