id,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
55498,71,2,23,0.22,1,91
55668,130,2,115,1.17,1,75
55737,199,5,129,1.22,1,286
55959,69,4,82,1.13,2,60
55982,68,3,37,0.35,1,0
56467,130,1,204,2.04,1,192
56525,195,2,69,0.65,1,58
56859,64,1,192,1.84,5,245
57166,140,2,17,0.16,1,292
57297,159,2,222,2.12,1,279
57468,189,3,205,1.96,1,0
57618,250,3,94,0.96,1,3
57740,239,3,7,0.07,1,351
57754,305,2,108,1.09,1,201
57874,155,3,222,2.1,2,232
58059,60,1,458,4.58,2,258
58062,135,2,21,0.26,1,272
58467,120,7,17,0.3,1,341
59014,150,3,41,0.39,1,244
59121,140,14,1,0.01,5,365
59642,135,2,69,0.67,1,12
59709,250,4,18,0.18,2,265
59855,250,30,82,0.78,1,0
60164,500,4,94,0.99,1,329
60457,225,5,10,0.1,1,91
60611,125,28,183,1.83,2,365
60666,92,1,189,1.82,5,253
60673,175,2,1,0.11,1,365
60680,99,2,127,1.22,1,320
60794,195,4,4,0.04,1,0
60948,140,3,135,1.3,3,192
61167,135,2,21,0.2,1,0
61224,500,2,35,0.34,1,348
61406,80,14,10,2.21,2,0
61492,120,4,171,1.8,2,353
61509,110,200,92,0.9,1,140
62095,65,3,238,2.3,1,2
62427,130,50,56,0.58,1,56
62430,99,3,111,2.13,1,68
62452,36,2,193,1.85,6,360
62461,37,2,147,1.44,6,0
62787,37,2,177,1.71,6,320
62891,175,3,185,1.78,2,326
62903,205,9,62,0.7,2,76
62925,285,3,124,1.22,3,279
63299,59,2,181,1.77,2,15
63320,36,2,333,3.19,6,340
63360,99,5,441,4.5,1,226
63546,39,1,45,0.46,2,365
63573,60,14,9,0.09,2,0
63588,90,2,0,,7,349
63610,105,2,38,0.5,13,365
63657,135,2,248,2.39,2,11
63693,390,5,143,1.38,2,316
63719,70,3,36,0.41,4,281
63913,75,7,0,,2,323
64000,60,17,14,0.14,4,362
64015,200,3,0,,1,0
64107,100,3,279,2.69,1,301
64277,70,4,18,0.22,4,189
64314,110,6,50,3.55,1,0
64365,60,2,227,2.27,2,287
64707,90,14,1,0.16,1,14
64837,68,2,203,1.96,2,86
65019,115,2,210,2.1,1,261
65268,75,5,64,0.67,1,68
65556,60,3,0,,1,0
65562,129,7,5,0.15,1,231
65615,130,10,49,0.48,1,152
65660,95,4,132,1.27,1,46
65813,75,3,20,0.26,1,364
65834,175,2,11,0.11,1,246
66008,190,3,51,0.57,1,288
66026,49,21,15,0.15,5,331
66251,212,3,67,1.31,1,51
66275,95,1,109,1.11,3,364
66451,140,2,9,0.11,1,254
66718,135,6,187,1.87,1,189
66741,150,2,214,2.08,2,263
66974,190,3,69,0.79,2,258
67288,124,28,22,0.26,1,103
67299,135,30,56,0.56,1,42
67397,122,3,93,0.93,1,246
68099,109,1,104,1.05,2,364
68305,85,30,64,0.68,1,318
68403,145,3,127,1.25,2,72
68735,195,11,30,0.32,1,249
68765,250,2,106,1.34,3,272
68900,125,3,6,0.1,1,325
68974,575,2,191,1.88,1,298
69894,150,30,48,0.55,1,35
69921,70,5,47,0.49,1,203
70095,90,2,120,1.27,1,132
70128,65,3,52,0.63,1,5
70609,500,2,48,0.48,4,297
71010,250,3,32,0.43,2,276
71248,125,25,43,0.42,1,102
71366,200,30,39,0.44,1,251
71384,229,1,50,0.5,1,188
71812,90,30,4,0.35,2,346
72190,110,13,38,0.39,1,0
72265,59,3,29,0.36,1,15
74073,195,4,59,0.6,1,71
74240,169,1,68,0.67,2,215
74333,113,14,26,0.27,3,253
74404,250,14,31,0.31,1,78
74680,115,2,198,2.01,1,257
74860,55,2,1,0.01,1,0
75193,69,2,220,2.17,2,8
75635,150,3,286,2.81,1,191
76761,169,2,398,3.97,3,182
77765,179,3,36,0.36,28,79
